time_period,data_version,time_identifier,geographic_level,country_code,country_name,core_component,sex,grade,count,percent,cumulative_count,cumulative_percent
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Male,C,26,35.1,30,40.5
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Male,D,33,44.6,63,85.1
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Male,E,11,14.9,74,100
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Male,Unclassified,0,0,74,100
202223,Revised,Academic year,National,E92000001,England,Science,Female,Number of students,52,z,z,z
202223,Revised,Academic year,National,E92000001,England,Science,Female,A*,2,3.8,2,3.8
202223,Revised,Academic year,National,E92000001,England,Science,Female,A,5,9.6,7,13.5
202223,Revised,Academic year,National,E92000001,England,Science,Female,B,21,40.4,28,53.8
202223,Revised,Academic year,National,E92000001,England,Science,Female,C,15,28.8,43,82.7
202223,Revised,Academic year,National,E92000001,England,Science,Female,D,2,3.8,45,86.5
202223,Revised,Academic year,National,E92000001,England,Science,Female,E,4,7.7,49,94.2
202223,Revised,Academic year,National,E92000001,England,Science,Female,Unclassified,3,5.8,52,100
202223,Revised,Academic year,National,E92000001,England,Science,Male,Number of students,70,z,z,z
202223,Revised,Academic year,National,E92000001,England,Science,Male,A*,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Science,Male,A,8,11.4,8,11.4
202223,Revised,Academic year,National,E92000001,England,Science,Male,B,19,27.1,27,38.6
202223,Revised,Academic year,National,E92000001,England,Science,Male,C,25,35.7,52,74.3
202223,Revised,Academic year,National,E92000001,England,Science,Male,D,8,11.4,60,85.7
202223,Revised,Academic year,National,E92000001,England,Science,Male,E,7,10,67,95.7
202223,Revised,Academic year,National,E92000001,England,Science,Male,Unclassified,3,4.3,70,100
202324,Provisional,Academic year,National,E92000001,England,Accounting,Female,Number of students,28,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Accounting,Female,A*,0,0,0,0
202324,Provisional,Academic year,National,E92000001,England,Accounting,Female,A,2,7.1,2,7.1
202324,Provisional,Academic year,National,E92000001,England,Accounting,Female,B,3,10.7,5,17.9
202324,Provisional,Academic year,National,E92000001,England,Accounting,Female,C,8,28.6,13,46.4
202324,Provisional,Academic year,National,E92000001,England,Accounting,Female,D,12,42.9,25,89.3
202324,Provisional,Academic year,National,E92000001,England,Accounting,Female,E,3,10.7,28,100
202324,Provisional,Academic year,National,E92000001,England,Accounting,Female,Unclassified,0,0,28,100
202324,Provisional,Academic year,National,E92000001,England,Accounting,Male,Number of students,65,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Accounting,Male,A*,2,3.1,2,3.1
202324,Provisional,Academic year,National,E92000001,England,Accounting,Male,A,4,6.2,6,9.2
202324,Provisional,Academic year,National,E92000001,England,Accounting,Male,B,12,18.5,18,27.7
202324,Provisional,Academic year,National,E92000001,England,Accounting,Male,C,24,36.9,42,64.6
202324,Provisional,Academic year,National,E92000001,England,Accounting,Male,D,16,24.6,58,89.2
202324,Provisional,Academic year,National,E92000001,England,Accounting,Male,E,6,9.2,64,98.5
202324,Provisional,Academic year,National,E92000001,England,Accounting,Male,Unclassified,1,1.5,65,100
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Female,Number of students,9,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Female,A*,1,11.1,1,11.1
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Female,A,0,0,1,11.1
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Female,B,1,11.1,2,22.2
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Female,C,1,11.1,3,33.3
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Female,D,5,55.6,8,88.9
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Female,E,1,11.1,9,100
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Female,Unclassified,0,0,9,100
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Male,Number of students,309,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Male,A*,0,0,0,0
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Male,A,3,1,3,1
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Male,B,25,8.1,28,9.1
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Male,C,45,14.6,73,23.6
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Male,D,111,35.9,184,59.5
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Male,E,101,32.7,285,92.2
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Male,Unclassified,24,7.8,309,100
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Female,Number of students,40,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Female,A*,0,0,0,0
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Female,A,1,2.5,1,2.5
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Female,B,4,10,5,12.5
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Female,C,10,25,15,37.5
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Female,D,16,40,31,77.5
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Female,E,9,22.5,40,100
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Female,Unclassified,0,0,40,100
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Male,Number of students,514,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Male,A*,0,0,0,0
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Male,A,0,0,0,0
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Male,B,32,6.2,32,6.2
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Male,C,109,21.2,141,27.4
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Male,D,225,43.8,366,71.2
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Male,E,137,26.7,503,97.9
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Male,Unclassified,11,2.1,514,100
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Number of students,107,z,z,z
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,A*,0,0,0,0
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,A,6,5.6,6,5.6
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,B,29,27.1,35,32.7
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,C,35,32.7,70,65.4
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,D,33,30.8,103,96.3
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,E,4,3.7,107,100
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Unclassified,0,0,107,100
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Number of students,572,z,z,z
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,A*,1,0.2,1,0.2
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,A,18,3.1,19,3.3
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,B,110,19.2,129,22.6
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,C,193,33.7,322,56.3
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,D,171,29.9,493,86.2
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,E,71,12.4,564,98.6
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Unclassified,8,1.4,572,100
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Female,Number of students,8,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Female,A*,0,0,0,0
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Female,A,0,0,0,0
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Female,B,2,25,2,25
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Female,C,3,37.5,5,62.5
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Female,D,1,12.5,6,75
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Female,E,2,25,8,100
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Female,Unclassified,0,0,8,100
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Male,Number of students,27,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Male,A*,0,0,0,0
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Male,A,0,0,0,0
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Male,B,0,0,0,0
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Male,C,5,18.5,5,18.5
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Male,D,6,22.2,11,40.7
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Male,E,16,59.3,27,100
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Male,Unclassified,0,0,27,100
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Number of students,96,z,z,z
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,A*,0,0,0,0
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,A,7,7.3,7,7.3
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,B,21,21.9,28,29.2
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,C,33,34.4,61,63.5
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,D,26,27.1,87,90.6
