time_period,data_version,time_identifier,geographic_level,country_code,country_name,tlevel_pathway,occupational_specialism,sex,grade,count,percent,cumulative_count,cumulative_percent
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Digital Support,Male,Number of students,106,z,z,z
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Digital Support,Male,Distinction,35,33,35,33
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Digital Support,Male,Merit,28,26.4,63,59.4
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Digital Support,Male,Pass,31,29.2,94,88.7
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Digital Support,Male,Unclassified,12,11.3,106,100
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Assisting Teaching,Female,Number of students,228,z,z,z
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Assisting Teaching,Female,Distinction,150,65.8,150,65.8
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Assisting Teaching,Female,Merit,65,28.5,215,94.3
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Assisting Teaching,Female,Pass,13,5.7,228,100
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Assisting Teaching,Female,Unclassified,0,0,228,100
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Assisting Teaching,Male,Number of students,23,z,z,z
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Assisting Teaching,Male,Distinction,12,52.2,12,52.2
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Assisting Teaching,Male,Merit,9,39.1,21,91.3
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Assisting Teaching,Male,Pass,1,4.3,22,95.7
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Assisting Teaching,Male,Unclassified,1,4.3,23,100
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Early Years Educator,Female,Number of students,743,z,z,z
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Early Years Educator,Female,Distinction,154,20.7,154,20.7
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Early Years Educator,Female,Merit,394,53,548,73.8
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Early Years Educator,Female,Pass,183,24.6,731,98.4
