time_period,data_version,time_identifier,geographic_level,country_code,country_name,tlevel_pathway,sex,grade,count,percent,cumulative_count,cumulative_percent
202324,Provisional,Academic year,National,E92000001,England,Education and Early Years,Male,Unclassified,3,3.6,83,100
202324,Provisional,Academic year,National,E92000001,England,"Engineering, Manufacturing, Processing and Control",Female,Number of students,19,z,z,z
202324,Provisional,Academic year,National,E92000001,England,"Engineering, Manufacturing, Processing and Control",Female,Distinction,4,21.1,4,21.1
202324,Provisional,Academic year,National,E92000001,England,"Engineering, Manufacturing, Processing and Control",Female,Merit,10,52.6,14,73.7
202324,Provisional,Academic year,National,E92000001,England,"Engineering, Manufacturing, Processing and Control",Female,Pass,5,26.3,19,100
202324,Provisional,Academic year,National,E92000001,England,"Engineering, Manufacturing, Processing and Control",Female,Unclassified,0,0,19,100
202324,Provisional,Academic year,National,E92000001,England,"Engineering, Manufacturing, Processing and Control",Male,Number of students,154,z,z,z
202324,Provisional,Academic year,National,E92000001,England,"Engineering, Manufacturing, Processing and Control",Male,Distinction,37,24,37,24
202324,Provisional,Academic year,National,E92000001,England,"Engineering, Manufacturing, Processing and Control",Male,Merit,73,47.4,110,71.4
202324,Provisional,Academic year,National,E92000001,England,"Engineering, Manufacturing, Processing and Control",Male,Pass,40,26,150,97.4
202324,Provisional,Academic year,National,E92000001,England,"Engineering, Manufacturing, Processing and Control",Male,Unclassified,4,2.6,154,100
202324,Provisional,Academic year,National,E92000001,England,Finance,Female,Number of students,11,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Finance,Female,Distinction,6,54.5,6,54.5
202324,Provisional,Academic year,National,E92000001,England,Finance,Female,Merit,2,18.2,8,72.7
202324,Provisional,Academic year,National,E92000001,England,Finance,Female,Pass,3,27.3,11,100
202324,Provisional,Academic year,National,E92000001,England,Finance,Female,Unclassified,0,0,11,100
202324,Provisional,Academic year,National,E92000001,England,Finance,Male,Number of students,24,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Finance,Male,Distinction,15,62.5,15,62.5
202324,Provisional,Academic year,National,E92000001,England,Finance,Male,Merit,7,29.2,22,91.7
202324,Provisional,Academic year,National,E92000001,England,Finance,Male,Pass,0,0,22,91.7
202324,Provisional,Academic year,National,E92000001,England,Finance,Male,Unclassified,2,8.3,24,100
202324,Provisional,Academic year,National,E92000001,England,Health,Female,Number of students,953,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Health,Female,Distinction,129,13.5,129,13.5
202324,Provisional,Academic year,National,E92000001,England,Health,Female,Merit,643,67.5,772,81
202324,Provisional,Academic year,National,E92000001,England,Health,Female,Pass,157,16.5,929,97.5
202324,Provisional,Academic year,National,E92000001,England,Health,Female,Unclassified,24,2.5,953,100
202324,Provisional,Academic year,National,E92000001,England,Health,Male,Number of students,81,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Health,Male,Distinction,8,9.9,8,9.9
202324,Provisional,Academic year,National,E92000001,England,Health,Male,Merit,56,69.1,64,79
202324,Provisional,Academic year,National,E92000001,England,Health,Male,Pass,17,21,81,100
202324,Provisional,Academic year,National,E92000001,England,Health,Male,Unclassified,0,0,81,100
202324,Provisional,Academic year,National,E92000001,England,Healthcare Science,Female,Number of students,51,z,z,z
