time_period,data_version,time_identifier,geographic_level,country_code,country_name,tlevel_pathway,sex,grade,count,percent,cumulative_count,cumulative_percent
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Distinction,93,13.6,94,13.7
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Merit,406,59.2,500,72.9
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Pass,145,21.1,645,94
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Partial achievement,39,5.7,684,99.7
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Unclassified,2,0.3,686,100
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Female,Number of students,7,z,z,z
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Female,Distinction*,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Female,Distinction,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Female,Merit,3,42.9,3,42.9
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Female,Pass,4,57.1,7,100
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Female,Partial achievement,0,0,7,100
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Female,Unclassified,0,0,7,100
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Female,Number of students,8,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Female,Distinction*,0,0,0,0
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Female,Distinction,5,62.5,5,62.5
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Female,Merit,1,12.5,6,75
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Female,Pass,1,12.5,7,87.5
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Female,Partial achievement,1,12.5,8,100
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Female,Unclassified,0,0,8,100
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Male,Number of students,35,z,z,z
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Male,Distinction*,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Male,Distinction,1,2.9,1,2.9
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Male,Merit,7,20,8,22.9
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Male,Pass,18,51.4,26,74.3
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Male,Partial achievement,9,25.7,35,100
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Male,Unclassified,0,0,35,100
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Male,Number of students,27,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Male,Distinction*,0,0,0,0
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Male,Distinction,5,18.5,5,18.5
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Male,Merit,10,37,15,55.6
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Male,Pass,10,37,25,92.6
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Male,Partial achievement,2,7.4,27,100
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Male,Unclassified,0,0,27,100
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,All,Number of students,43,z,z,z
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,All,Distinction*,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,All,Distinction,1,2.3,1,2.3
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,All,Merit,10,23.3,11,25.6
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,All,Pass,22,51.2,33,76.7
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,All,Partial achievement,10,23.3,43,100
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,All,Unclassified,0,0,43,100
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,All,Number of students,35,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,All,Distinction*,0,0,0,0
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,All,Distinction,10,28.6,10,28.6
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,All,Merit,11,31.4,21,60
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,All,Pass,11,31.4,32,91.4
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,All,Partial achievement,3,8.6,35,100
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,All,Unclassified,0,0,35,100
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Number of students,34,z,z,z
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Distinction*,1,2.9,1,2.9
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Distinction,11,32.4,12,35.3
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Merit,17,50,29,85.3
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Pass,5,14.7,34,100
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Partial achievement,0,0,34,100
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Unclassified,0,0,34,100
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Number of students,65,z,z,z
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Distinction*,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Distinction,8,12.3,8,12.3
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Merit,30,46.2,38,58.5
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Pass,23,35.4,61,93.8
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Partial achievement,4,6.2,65,100
